host_id,host_name,host_since,host_location,host_response_time,host_is_superhost,host_listings_count
497972311,Adrian,2023-01-25,"Málaga, Spain",within an hour,f,5
473802131,Faris,2022-08-07,"Málaga, Spain",Unknown,f,1
170504972,Salvador,2018-01-29,"Málaga, Spain",within an hour,f,1
56792861,Cristina,2016-01-31,"Andalusia, Spain",within an hour,t,1
130971146,Luiz,2017-05-18,"Málaga, Spain",within an hour,t,4
466918124,Enrique,2022-06-30,Unknown,within an hour,f,31
309456528,Take Care Malaga,2019-11-14,"Málaga, Spain",within an hour,f,29
38597712,Ignacio,2015-07-15,"Málaga, Spain",within a few hours,f,1
41450936,Rocio,2015-08-14,"Málaga, Spain",Unknown,f,3
50626581,Ana,2015-12-06,"Málaga, Spain",within an hour,f,3
4376916,Antonio Luis,2012-12-11,"Málaga, Spain",Unknown,f,1
29938856,Javier,2015-03-24,"Málaga, Spain",within a day,t,4
46728235,David,2015-10-16,"Málaga, Spain",within an hour,t,12
298633288,Holidaysforu,2019-09-28,"Málaga, Spain",within an hour,f,78
415234854,Isabel,2021-07-26,"Málaga, Spain",within a few hours,f,4
130543121,Jose,2017-05-16,"Gandia, Spain",within a few hours,f,3
14259034,Gabriel,2014-04-14,"Málaga, Spain",within a few hours,f,2
129038326,Virginia,2017-05-05,"Andalusia, Spain",within an hour,t,2
432581747,Holidu,2021-11-19,Unknown,within an hour,f,462
252333094,Paco,2019-03-31,"Málaga, Spain",within an hour,f,2
69011463,Patricia,2016-04-26,"Málaga, Spain",within an hour,f,1
87733940,Amador,2016-08-03,"Málaga, Spain",within an hour,t,7
195417803,Luisa Y Alejandro,2018-06-13,Unknown,within an hour,t,1
142166244,David,2017-07-24,"Málaga, Spain",Unknown,f,1
143470076,Novasol,2017-07-31,Norway,within an hour,f,453
46639025,Francisca,2015-10-15,"Madrid, Spain",within an hour,t,2
262364017,Lagar Martinez,2019-05-17,"Málaga, Spain",within a few hours,f,5
16644573,Cristina,2014-06-11,"Málaga, Spain",Unknown,f,1
30522072,Juan M,2015-04-03,"Málaga, Spain",within an hour,t,19
115528688,Javier,2017-02-08,"Málaga, Spain",within an hour,f,123
128144305,Enrique,2017-04-29,"Málaga, Spain",within an hour,f,12
489741245,Sofia,2022-11-30,"Málaga, Spain",a few days or more,f,2
539553717,Irene,2023-09-29,Unknown,a few days or more,f,1
464096598,Greensol Homes And Apartments,2022-06-13,Unknown,within an hour,t,4
473052478,Trinidad,2022-08-03,Unknown,within a day,f,1
570229,Alvaro,2011-05-09,"Coquimbo, Chile",within an hour,t,8
32594491,Prodigia,2015-05-04,"Málaga, Spain",within an hour,t,11
402266396,Malaga Rentaltur,2021-05-18,"Málaga, Spain",within an hour,t,3
172327669,Moises,2018-02-08,"Andalusia, Spain",within an hour,t,1
243540079,Elizabeth,2019-02-16,"Andalusia, Spain",within an hour,f,7
452871190,Carlos,2022-04-05,Unknown,within an hour,f,1
102117,Ines,2010-04-01,"Los Angeles, CA",within a few hours,f,3
447759755,Michaela,2022-03-03,Unknown,within an hour,t,3
334881669,Ulrich,2020-02-10,"Fresnes, France",within an hour,f,4
449495528,Inés,2022-03-14,Unknown,within a few hours,t,3
460391145,Marta Y Fran,2022-05-22,Unknown,Unknown,t,148
102552567,Pedro,2016-11-05,"Málaga, Spain",within a few hours,f,1
512959699,Edwin,2023-05-03,"Málaga, Spain",within an hour,f,1
40922171,Emilio,2015-08-09,"Málaga, Spain",within an hour,f,1
89660355,Francisco José,2016-08-13,Unknown,within an hour,t,2
11931754,Frédéric C,2014-02-04,"Málaga, Spain",within an hour,t,2
59902915,Luisa,2016-02-22,"Málaga, Spain",Unknown,Unknown,13
190855352,Manuel,2018-05-21,Unknown,within a day,f,1
141293059,Miguel,2017-07-19,"Andalusia, Spain",within an hour,t,1
143993383,Sebastian,2017-08-02,Unknown,within an hour,f,3
83885748,Esperanza Y Isabel,2016-07-15,"Andalusia, Spain",Unknown,f,2
101861441,Maria Remedios,2016-10-30,"Málaga, Spain",within an hour,t,1
539554971,José Manuel,2023-09-29,"Málaga, Spain",within an hour,t,1
418154545,Silvia,2021-08-12,Unknown,within an hour,t,2
3912651,Juan Francisco,2012-10-18,"Málaga, Spain",within an hour,f,4
532682564,Juan,2023-08-19,"Málaga, Spain",a few days or more,f,1
40618169,Stefano,2015-08-05,"Amsterdam, Netherlands",within an hour,f,4
84879222,Ana,2016-07-20,"Málaga, Spain",within an hour,t,2
32359335,Blanca,2015-05-01,"Málaga, Spain",within an hour,t,2
544263779,Holidu,2023-10-31,"Madrid, Spain",within an hour,f,665
13161816,Paul,2014-03-15,"Munich, Germany",Unknown,f,1
576330493,Patricia,2024-05-07,Unknown,a few days or more,f,5
78650682,Alberto,2016-06-19,"Andalusia, Spain",within an hour,f,6
33887636,Dora Linda,2015-05-21,"Málaga, Spain",within an hour,t,3
432494095,"Loic, Estelle And Co",2021-11-18,Unknown,Unknown,f,1
354248735,Xana,2020-07-07,Unknown,within an hour,f,30
526770820,Antonio,2023-07-19,Unknown,within an hour,f,1
15780021,Alvaro,2014-05-20,"Málaga, Spain",within a few hours,f,4
97891498,José,2016-10-04,"Rincón de la Victoria, Spain",within an hour,f,1
61052007,Patri,2016-03-01,"Málaga, Spain",within an hour,f,1
5972379,Saida And Tom,2013-04-17,"Amsterdam, Netherlands",within a day,f,4
53703877,Alvaro,2016-01-07,"Andalusia, Spain",within an hour,f,4
5490522,Fali,2013-03-16,"Andalusia, Spain",within an hour,f,15
4100714,Just,2012-11-09,"Rotterdam, Netherlands",within a day,f,2
153918632,Novasol,2017-10-09,Netherlands,within an hour,f,319
412707073,Maripaz,2021-07-13,"Málaga, Spain",within a few hours,f,1
576248696,Tatiana,2024-05-07,Unknown,within an hour,f,10
137535621,Rafael,2017-06-28,"Málaga, Spain",Unknown,f,1
52119429,Barbara,2015-12-23,"Marbella, Spain",within an hour,f,14
282684389,Jolanda,2019-08-05,"Málaga, Spain",within an hour,f,4
42414276,Beatriz,2015-08-24,"Málaga, Spain",Unknown,f,1
257167149,Salvador Y Familia,2019-04-21,Unknown,within a few hours,f,3
283560692,Jose Manuel,2019-08-07,Unknown,within a day,f,1
521414556,Jesus Salvador,2023-06-22,Unknown,within an hour,f,1
10147055,Vasyl,2013-11-20,"Andalusia, Spain",within an hour,f,4
159924976,Alberto,2017-11-24,"Málaga, Spain",Unknown,Unknown,8
145938159,Lidia,2017-08-14,"Málaga, Spain",within an hour,t,1
88472750,Joanna,2016-08-07,"Málaga, Spain",within an hour,f,1
405972996,Cristina,2021-06-08,Unknown,within a few hours,f,1
94736627,Rocío,2016-09-12,"Andalusia, Spain",within an hour,t,59
453084153,Safa,2022-04-06,Unknown,within an hour,f,1
94230338,Rosa,2016-09-08,"Málaga, Spain",within an hour,t,1
91431043,Jose,2016-08-23,"Málaga, Spain",within an hour,f,21
225446428,Wabitrip Com,2018-11-12,"Málaga, Spain",within an hour,f,33
85334361,Catalin-Liviu,2016-07-22,"Frankfurt, Germany",within a few hours,f,1
475655250,Rosa,2022-08-18,"Málaga, Spain",within an hour,f,2
96380726,Belinda,2016-09-23,"Málaga, Spain",within an hour,f,2
456302898,Suites Chinitas,2022-04-27,"Málaga, Spain",within an hour,t,3
16712929,Victoria,2014-06-12,"Pozoblanco, Spain",within an hour,f,3
