reviews_id,listing_id,number_of_reviews,reviews_lastyear,reviews_last30days,review_scores_rating
100,45023145,9,3,0,4.78
101,49680020,154,49,0,4.92
102,904126879528990022,95,93,7,4.95
103,557707432063453627,14,1,0,4.64
104,664853001254547819,51,26,2,4.49
105,54401877,96,51,4,4.79
106,13599747,310,54,4,4.42
107,1108440073994577066,14,14,4,4.14
108,924059348587432729,26,10,2,4.69
109,938777382010951286,12,12,0,4.25
110,50883846,62,7,0,4.48
111,622409594808278211,109,47,3,4.94
112,19689070,39,2,0,4.67
113,930263394719272649,33,33,1,4.45
114,544879148237956154,0,0,0,Unknown
115,850789788658917356,72,54,6,4.72
116,43591642,5,0,0,4.0
117,43994707,4,0,0,4.75
118,1175427892750018465,1,1,1,5.0
119,734667357605231160,42,35,1,4.6
120,945373675550457751,0,0,0,Unknown
121,554081845030396051,27,9,0,4.56
122,52188391,63,29,1,4.25
123,33072050,18,9,1,4.56
124,26516802,103,4,0,4.61
125,51455692,3,2,0,4.33
126,18156753,69,3,0,4.43
127,22926369,125,14,2,4.34
128,51157140,98,41,4,4.63
129,1115042476146658375,10,10,3,5.0
130,52650110,8,1,0,4.5
131,983175522374515741,1,1,1,5.0
132,1055083714490779174,5,5,0,2.8
133,23336118,120,26,2,4.7
134,686670798117405791,85,46,4,4.85
135,51949595,1,0,0,5.0
136,644765151391649220,3,0,0,3.0
137,48180516,17,2,0,4.29
138,744581928439575513,46,34,3,4.61
139,856411708055823572,12,9,1,4.33
140,1004096284072247508,0,0,0,Unknown
141,50170626,30,6,0,4.8
142,954864833591571488,4,4,0,4.5
143,1135386307364435848,3,3,1,5.0
144,1150558365474830648,1,1,1,4.0
145,1027213773320642653,26,26,2,4.65
146,41361621,24,13,0,4.67
147,1163558473238227767,1,1,1,5.0
148,988271346539584063,8,8,0,4.75
149,673943669153953423,2,1,0,4.5
150,860509269312514964,0,0,0,Unknown
151,720110925411046078,50,38,1,4.92
152,20197996,20,2,0,4.75
153,26131624,66,15,3,4.95
154,1117220258258475985,3,3,1,5.0
155,1013521434845936988,13,13,2,4.62
156,701863074077609964,3,2,0,5.0
157,588878414318415104,5,4,0,3.8
158,1015747607077945817,0,0,0,Unknown
159,1120300716913820471,2,2,0,5.0
160,894646052451287380,30,23,2,4.87
161,567197665567741309,2,0,0,5.0
162,808428493544518996,3,0,0,4.67
163,818748109543043338,115,95,8,4.69
164,892550960169629430,2,2,0,4.0
165,989926449872668135,16,16,5,4.75
166,51900320,16,3,0,4.25
167,978910253240574766,0,0,0,Unknown
168,39170553,5,0,0,4.0
169,836786498587133971,2,0,0,3.0
170,988947997547827187,2,2,0,5.0
171,1129487617553575274,1,1,1,5.0
172,552216382895087303,51,17,0,4.9
173,1117244319632169059,5,5,1,4.6
174,1187849542779396332,0,0,0,Unknown
175,1097143369349710672,1,1,1,3.0
176,22919187,12,5,2,4.83
177,1025836108592558575,1,1,0,5.0
178,894085925069735082,15,14,1,4.67
179,48675398,50,19,1,4.84
180,1107171013693579186,0,0,0,Unknown
181,826234581101782275,41,22,2,4.56
182,1030280832703923346,0,0,0,Unknown
183,596422678980981703,108,45,2,4.76
184,34571853,6,0,0,3.83
185,719619013541206854,4,1,0,4.25
186,13638745,31,0,0,4.55
187,1151186387443054134,3,3,2,5.0
188,708596686085162626,2,0,0,5.0
189,1061707045544028551,0,0,0,Unknown
190,1032309433664997867,0,0,0,Unknown
191,1161556654367924858,0,0,0,Unknown
192,21466209,573,49,6,4.85
193,928682341487067240,0,0,0,Unknown
194,889827354293321104,11,11,1,4.82
195,18942350,12,2,0,4.17
196,981690066367860269,5,5,1,4.4
197,564188497652844409,43,17,0,4.56
198,724661650127691421,1,1,0,5.0
199,920275971522151215,18,18,2,4.61
200,688345729423252938,9,3,0,4.67
201,854035884106583736,5,3,0,4.8
202,51852822,146,62,2,4.91
203,843293283415205186,25,23,3,4.72
204,776696280697476250,19,13,0,4.79
205,696093316516112020,47,19,2,4.79
206,658689652846911434,7,2,0,5.0
207,18004790,7,0,0,5.0
208,9829686,77,2,1,4.77
209,721591944166240875,85,48,3,4.81
210,26767105,282,41,4,4.98
211,863366221495850271,7,4,1,4.86
212,1135379025708194553,9,9,2,4.89
213,786891575901012655,4,3,1,5.0
214,1183269535053439587,0,0,0,Unknown
215,1094765428388218655,0,0,0,Unknown
216,1175391139701023578,0,0,0,Unknown
217,1028287134862066005,12,12,0,4.58
218,19224453,270,64,6,4.8
219,1111656801732911408,0,0,0,Unknown
220,33487294,60,10,1,4.85
221,20209549,1,1,1,5.0
222,823907029125439869,47,30,3,4.98
223,43796118,104,28,2,4.92
224,20020916,2,0,0,3.5
225,1132540820362821111,0,0,0,Unknown
226,15067371,94,23,3,4.95
227,34807725,0,0,0,Unknown
228,39014161,1,1,0,3.0
229,777921671154411223,0,0,0,Unknown
230,584539122055233322,3,1,0,5.0
231,790505119365551089,8,7,0,5.0
232,594052285933880785,0,0,0,Unknown
233,21292519,48,2,0,4.63
234,882631045462065035,0,0,0,Unknown
235,51442533,23,6,0,4.35
236,991282999199525269,0,0,0,Unknown
237,1130982615667001595,3,3,1,5.0
238,1091935657131988471,11,11,3,4.18
239,685208334367880476,0,0,0,Unknown
240,1153066856457901380,5,5,2,5.0
241,735191634958636426,3,3,0,4.67
242,597015583542257371,98,37,3,4.7
243,1126768348339451335,2,2,0,5.0
244,49883069,79,12,1,4.78
245,892679575117408988,33,33,0,4.82
246,858335757664101663,24,15,4,4.75
247,31649557,28,13,2,5.0
248,762834929063179265,59,42,4,4.78
249,598459188402895078,4,1,0,5.0
250,1111648064683615648,10,10,1,4.6
251,942755928338366995,0,0,0,Unknown
252,574640237309927730,50,17,0,4.86
253,930260530640855634,11,11,1,4.64
254,983835592141967005,21,21,2,4.67
255,583145152904320601,50,27,2,4.96
256,1050560480746233405,0,0,0,Unknown
257,1018115474884248070,12,12,2,4.42
258,15835869,11,3,0,4.73
259,1071810440332887485,0,0,0,Unknown
260,932470040143327492,7,7,1,4.71
261,1118879348161383256,12,12,2,4.0
262,35418479,19,4,0,4.68
263,1062221512145167816,4,4,0,5.0
264,1118901756603858988,7,7,3,4.43
265,1115674354734860711,1,1,0,5.0
266,1131092961255148585,3,3,1,4.67
267,1118040717329512445,3,3,0,4.67
268,26556131,67,29,3,4.91
269,2343063,829,53,4,4.8
270,805552230009897464,57,43,6,4.88
271,25262201,0,0,0,Unknown
272,50273100,75,20,3,4.69
273,19938934,97,20,2,4.94
274,1150864262082199864,1,1,1,5.0
275,785265972324564212,0,0,0,Unknown
276,17612221,98,23,4,5.0
277,991361276901127280,58,58,9,4.91
278,602927366520965112,141,58,5,4.77
279,925470763784353589,33,33,2,4.76
280,753252,23,4,0,4.96
281,42373544,22,8,1,4.32
282,961314210249382921,0,0,0,Unknown
283,976887984748633708,18,18,6,4.78
284,53424210,45,11,0,4.58
285,53809310,19,14,0,4.95
286,1126060660074965998,4,4,2,4.5
287,889218323491696076,24,20,1,4.88
288,1046966077658045805,5,5,1,5.0
289,46812296,16,6,1,4.94
290,1119595159243546523,4,4,0,3.75
291,1162813476006986784,0,0,0,Unknown
292,756979926834165938,2,2,0,3.5
293,707772696197507117,58,41,3,4.83
294,859390641880170682,2,1,0,4.0
295,598031396397090522,0,0,0,Unknown
296,633056163782042153,0,0,0,Unknown
297,1172215994878281288,2,2,2,4.5
298,912232653852510062,14,12,0,4.71
299,939269820122862025,1,1,0,5.0
300,3197401,60,11,0,4.62
301,26459957,52,19,5,4.81
302,915591487838673408,7,7,0,4.71
303,672356983138209769,17,9,1,4.82
304,10472473,275,43,6,4.7
305,37775959,96,27,1,4.7
306,1108659927784546287,0,0,0,Unknown
307,1064254313801822532,0,0,0,Unknown
308,1083237269183024859,2,2,0,5.0
309,652559213123580380,4,3,0,4.5
310,1182006494164954266,1,1,1,5.0
311,638881508830324398,20,6,0,4.7
312,634661416985331758,76,42,3,4.83
313,48053571,1,1,0,5.0
314,1100477422863529655,5,5,2,4.8
315,1087357123833819874,16,16,4,4.63
316,53390187,18,5,0,4.61
317,1100586605938259470,0,0,0,Unknown
318,1188500330118152086,0,0,0,Unknown
319,46189552,2,0,0,5.0
320,21644738,165,17,2,4.79
321,37543860,12,3,0,4.83
322,919487929184424686,4,4,1,4.25
323,3270406,200,21,2,4.44
324,27382952,4,1,0,4.5
325,661501715159431416,1,0,0,5.0
326,20447249,66,8,0,4.91
327,1107132782183477311,1,1,0,4.0
328,1135540822490370969,15,15,4,4.67
329,861424416361083422,62,59,4,4.9
330,678372690497865241,19,3,0,4.79
331,50342319,24,6,1,4.54
332,52805511,131,45,2,4.91
333,33394549,402,90,8,4.87
334,912236807460816731,7,7,1,4.86
335,25705394,37,10,0,4.49
336,1133078405308268677,3,3,1,3.67
337,14138882,78,11,1,4.74
338,628736216219916282,3,2,1,5.0
339,876696441561216027,7,6,0,3.86
340,886858053843601654,1,1,0,5.0
341,1125939867160482806,12,12,5,4.92
342,822967644844249246,9,7,5,5.0
343,3396940,56,7,0,4.75
344,919221726728084849,33,33,4,5.0
345,25706436,2,2,0,5.0
346,760727678205434140,21,8,0,4.95
347,29976026,10,0,0,4.6
348,648892157133481226,23,8,0,4.48
349,28452397,40,23,5,4.95
350,519346249563991193,58,26,0,4.83
351,805438264858676161,0,0,0,Unknown
352,42058092,23,5,1,4.87
353,50925039,38,10,2,4.58
354,924435304180238378,33,33,4,4.97
355,1092609266449984862,5,5,1,5.0
356,1116594913435826885,7,7,2,4.86
357,944082255319951969,53,53,5,4.91
358,965774546011713799,32,32,2,4.88
359,1081707910748843174,17,17,1,4.88
360,671457546659482698,6,3,1,5.0
361,1114114,12,5,0,4.67
362,860622283569797658,1,1,0,5.0
363,1147671386631903968,0,0,0,Unknown
364,50801402,213,67,7,4.91
365,36141378,60,16,2,4.35
366,51546944,136,60,6,4.88
367,50560501,180,58,3,4.88
368,1096174418064284726,3,3,0,3.0
369,1135407133217686002,0,0,0,Unknown
370,678985078868282910,2,1,0,5.0
371,49977613,61,16,1,4.3
372,667172013690003104,1,1,0,4.0
373,1084536345690740326,7,7,1,4.71
374,23881480,10,1,0,3.8
375,42238951,29,11,1,4.28
376,1018170528414012792,0,0,0,Unknown
377,821554671651417423,20,14,1,4.55
378,1060365913351790557,3,3,1,4.0
379,41919075,11,0,0,4.27
380,1147662486167913558,0,0,0,Unknown
381,1132479719916167642,0,0,0,Unknown
382,36226527,113,25,3,4.8
383,546158908769748045,89,45,2,4.74
384,12565187,378,68,6,4.93
385,1189767462442874766,0,0,0,Unknown
386,19579302,97,16,0,5.0
387,1138286589653483449,3,3,3,4.67
388,27578944,49,21,1,4.9
389,2940251,344,23,0,4.39
390,648395175693749830,3,2,0,4.33
391,26056445,215,17,1,4.93
392,644795485253150899,14,7,0,4.57
393,1071779226890057569,0,0,0,Unknown
394,1130201267052047317,6,6,2,4.83
395,808677702508303261,0,0,0,Unknown
396,830928385888560584,36,27,1,4.67
397,1130521652255551017,3,3,1,5.0
398,1116481563575522728,4,4,2,4.0
399,8279738,323,37,4,4.9
400,1165133422162326985,0,0,0,Unknown
401,18281794,116,23,3,4.34
402,1189622809740906599,0,0,0,Unknown
403,1118773475829944035,7,7,1,4.29
404,32949976,64,10,3,4.81
405,20349829,195,27,1,4.75
406,18281801,51,4,0,4.51
407,37180366,16,0,0,4.69
408,36168676,38,3,1,4.97
409,22724624,85,18,1,4.8
410,1094864191619075565,4,4,1,5.0
411,17282975,343,26,3,4.86
412,41919005,8,1,0,4.13
413,552604338287764070,22,0,0,4.32
414,688140652098178422,55,33,2,4.93
415,6681385,140,6,1,4.7
416,14971241,217,39,4,4.88
417,25706532,26,6,1,4.69
418,820111880903810320,1,1,0,5.0
419,37897816,129,19,5,4.65
420,9231129,35,4,0,4.57
421,31503105,71,11,0,4.52
422,906410408689130570,7,5,0,4.71
423,830188682212202150,0,0,0,Unknown
424,44700826,1,0,0,5.0
425,18017792,8,1,0,4.0
426,735592013143118414,19,8,0,4.84
427,50566515,8,3,0,4.38
428,623022466314673676,39,13,2,4.67
429,765005054462977520,2,1,0,4.0
430,42786084,18,3,2,4.56
431,19959515,60,16,2,4.65
432,22489683,11,1,0,4.09
433,23943326,16,0,0,5.0
434,1084099715998792840,0,0,0,Unknown
435,924561449162466676,67,67,4,4.75
436,52871246,17,4,1,4.88
437,1044192435540246093,4,4,0,4.75
438,14291721,31,0,0,4.19
439,1188532138323895581,0,0,0,Unknown
440,51446000,3,1,0,5.0
441,35966003,3,2,0,4.67
442,992756270669866743,17,17,2,5.0
443,22632836,216,44,3,4.67
444,1115965771171789304,8,8,2,4.75
445,948392464610828093,4,4,1,5.0
446,1184093689448989145,0,0,0,Unknown
447,924755577435783047,9,9,0,4.67
448,19755616,267,42,4,4.93
449,50984576,2,0,0,4.0
450,552570839033043189,16,3,1,4.31
451,678974855844460342,24,20,1,4.79
452,48458374,52,9,0,4.46
453,965013646741819100,1,1,0,4.0
454,2163893,412,55,1,4.59
455,552570186078653237,7,0,0,3.86
456,681722254193894658,2,0,0,2.5
457,1160812325699135582,2,2,1,2.0
458,49696187,4,0,0,5.0
459,29438896,18,8,1,4.39
460,1169602263112676250,1,1,1,5.0
461,31055231,174,51,3,4.89
462,730911922228546075,24,13,3,4.46
463,42308266,344,97,3,4.86
464,29308022,208,36,3,4.67
465,37773915,106,23,2,4.77
466,927222238108141184,16,16,0,4.5
467,621413561604464208,49,39,3,4.86
468,9402329,242,22,2,4.77
469,51876555,45,19,0,4.82
470,1136037192311403871,0,0,0,Unknown
471,673018260615149771,11,3,0,4.55
472,23839343,246,56,4,4.94
473,1172632057346324253,0,0,0,Unknown
474,773144685294420061,28,16,0,4.93
475,44149606,105,32,4,4.82
476,1115694237510977318,12,12,4,4.92
477,52848265,47,22,1,4.26
478,51446028,142,54,0,4.63
479,1182375208049072773,0,0,0,Unknown
480,1080292785878298600,8,8,1,4.0
481,991079701923827478,16,16,0,4.44
482,12922556,264,45,5,4.91
483,726629985510903490,21,11,0,4.76
484,41613187,4,0,0,4.25
485,31797950,105,33,5,4.92
486,680980698584689546,12,4,0,4.5
487,19108233,306,51,11,4.8
488,48673659,47,10,0,4.51
489,35858082,56,18,0,3.98
490,1158640521141828037,6,6,5,5.0
491,1129010036134110032,20,20,6,5.0
492,49205434,7,2,0,3.71
493,1092663158054497864,12,12,4,4.83
494,1060648758426317451,18,18,3,4.56
495,47512403,198,73,4,4.66
496,40050190,38,8,0,3.95
497,34165484,51,19,1,4.76
498,1101421530395049870,4,4,1,5.0
499,45854706,13,11,0,4.62
500,1176918468142275334,0,0,0,Unknown
501,1102595344809955780,0,0,0,Unknown
502,6160764,273,24,1,4.78
503,847516707790732447,82,60,6,4.74
504,802752580216981357,8,6,0,4.38
505,817402362747281053,3,2,0,4.33
506,599233029826135687,6,6,0,5.0
507,49893848,12,1,0,4.33
508,964956865665780574,0,0,0,Unknown
509,17121206,112,4,0,4.72
510,965000105480807001,1,1,0,5.0
511,50745551,3,0,0,4.33
512,1050018183413778237,0,0,0,Unknown
513,888978484923644546,1,1,0,3.0
514,48566805,20,5,0,4.65
515,587691228824899659,12,7,0,4.33
516,965008041370566562,2,2,0,5.0
517,1045428482214405273,10,10,1,4.6
518,935181778467514032,1,1,0,4.0
519,682345700126611200,0,0,0,Unknown
520,719945199319996643,42,17,0,4.36
521,2038218,170,15,5,4.85
522,49892079,8,0,0,2.88
523,1160795546085599383,1,1,1,4.0
524,939894024359648508,23,23,0,4.7
525,943915137747828185,25,25,7,4.92
526,38459266,112,22,2,4.67
527,15899392,140,24,1,4.79
528,11117346,100,13,0,4.61
529,730157,21,0,0,4.67
530,52786391,11,0,0,3.73
531,49892132,17,3,0,4.0
532,1088146943344059695,2,2,0,3.5
533,52525291,41,9,0,4.15
534,980895313918773101,2,2,0,4.0
535,608714726120854450,0,0,0,Unknown
536,820198877548592512,58,44,5,4.79
537,31971959,45,19,2,4.98
538,939012672736264988,26,26,0,4.54
539,1093436630566897643,0,0,0,Unknown
540,830991383758819253,76,57,5,4.92
541,557130012151208372,154,70,6,4.94
542,20445917,245,38,1,4.93
543,52525293,39,14,0,4.28
544,681054021895990429,2,0,0,5.0
545,34616656,66,15,0,4.3
546,812332282456584714,35,27,2,4.66
547,945308119388906416,21,21,7,4.76
548,594081013806595600,118,51,2,4.78
549,833156729263096644,68,49,5,4.93
550,1049840958645203337,1,1,0,4.0
551,902725973350065835,40,39,2,4.9
552,18882423,3,1,0,5.0
553,1100592213267291995,15,15,4,4.8
554,1149727208770033121,2,2,0,5.0
555,13890128,391,37,1,4.86
556,638497459665297613,62,23,3,4.85
557,1078171381344251510,18,18,0,4.94
558,1188204398338885941,0,0,0,Unknown
559,722391529092639655,85,49,4,4.91
560,1127331893138781001,1,1,0,5.0
561,919354294034056800,36,34,3,4.61
562,873914314158429231,12,7,0,4.92
563,938902589542594803,13,13,0,4.31
564,980931959772172732,19,19,3,4.26
565,1149166315256723146,4,4,4,4.75
566,622406362698251843,177,81,4,4.86
567,680915498502907035,3,1,1,5.0
568,788257861509933070,70,55,4,4.76
569,49680676,204,79,4,4.96
570,1129616427124711338,6,6,1,4.67
571,13778094,14,9,0,4.71
572,762833726565302390,43,31,3,4.77
573,602119115867139242,48,18,1,4.85
574,32481313,5,2,0,4.6
575,46805145,48,10,1,4.73
576,847586006109757434,54,44,4,4.98
577,45376059,136,22,0,4.82
578,48847608,47,5,0,4.68
579,49048702,140,26,1,4.19
580,52278965,17,6,0,4.76
581,52805620,153,47,2,4.86
582,659263815663368641,85,48,3,4.6
583,780199864108831906,62,41,3,4.76
584,6593915,10,0,0,4.1
585,1514156,215,18,1,4.82
586,32481544,7,2,0,4.0
587,1126164106279148434,7,7,4,5.0
588,45284450,191,36,3,4.75
589,592393845219936255,51,20,0,4.8
590,846192581847055473,7,6,0,4.43
591,48576915,40,15,2,4.8
592,41870739,57,25,2,4.54
593,687580910175978590,35,21,3,4.89
594,1025421871998616432,17,17,1,5.0
595,1159179998048479394,5,5,4,5.0
596,646207925917696509,79,30,3,4.77
597,23916986,104,8,3,4.52
598,1068814251901453990,10,10,2,4.9
599,751983133971456538,33,14,2,4.7
600,44025975,25,14,1,4.8
601,13662266,19,5,0,4.53
602,52525272,15,1,0,4.33
603,889766893022751892,21,21,0,4.57
604,51136100,17,4,0,4.76
605,14961316,16,10,1,4.31
606,27477577,127,31,2,4.78
607,833054472456823842,5,5,0,4.8
608,1165478270160556637,0,0,0,Unknown
609,1048480678191030927,13,13,2,4.77
610,50101999,9,3,0,5.0
611,929529766848365160,50,50,5,4.62
612,670801402814213361,20,9,0,4.5
613,771461821876559064,32,29,1,4.84
614,661437643647286281,41,22,0,4.51
615,48848992,17,3,0,4.76
616,660045620771864530,69,35,2,4.57
617,24493515,43,5,0,4.56
618,925149243367931818,15,15,0,4.73
619,1032514558941588393,2,2,1,4.5
620,41442691,17,0,0,4.76
621,32482088,8,3,0,5.0
622,884494234773846025,17,17,0,4.24
623,1142663760750438697,4,4,1,5.0
624,831871989397591438,10,10,0,3.9
625,7569004,47,3,0,4.13
626,43644273,35,11,2,5.0
627,15031781,31,12,2,4.45
628,13662272,5,1,0,4.2
629,1117343055155091223,7,7,3,5.0
630,42578383,3,1,1,4.67
631,25707162,10,9,2,4.3
632,1182394438069508114,0,0,0,Unknown
633,41784642,25,15,2,3.88
634,913659523923996060,5,3,0,4.4
635,23708090,45,21,2,4.93
636,29278172,195,46,4,4.89
637,28769459,75,10,3,4.93
638,31011196,11,4,0,4.55
639,23660787,89,6,0,4.44
640,48475940,6,5,0,4.0
641,970056078464419601,33,33,3,4.97
642,2379888,272,20,0,4.48
643,42311558,13,0,0,4.54
644,620812697031211627,38,17,1,4.71
645,1110573688302951487,3,3,1,4.67
646,680942896678788222,0,0,0,Unknown
647,982424971616773642,5,5,0,4.2
648,681742385301114007,8,2,0,2.75
649,682364026806836555,1,0,0,5.0
650,1170422236424459111,0,0,0,Unknown
651,1163833151641221968,3,3,1,3.67
652,1161523955022443002,0,0,0,Unknown
653,29095352,77,2,1,4.69
654,1168869659132453684,0,0,0,Unknown
655,19675350,266,29,1,4.82
656,695050475886083701,0,0,0,Unknown
657,1006313414779907576,1,1,0,1.0
658,51223933,65,34,2,4.74
659,877440261406726179,5,3,0,5.0
660,678995975905417181,1,1,0,4.0
661,678626086606174046,47,32,3,5.0
662,779357029837469230,23,17,0,4.7
663,44423263,29,13,0,4.72
664,692637885453847753,42,30,3,4.64
665,22564835,42,15,2,4.55
666,949028444618755105,12,12,0,4.92
667,751236390112859422,18,12,0,4.67
668,928060645419212976,0,0,0,Unknown
669,1178206955628102074,0,0,0,Unknown
670,4959767,96,6,0,4.81
671,33086399,97,22,0,4.92
672,662126738977959843,28,13,0,4.75
673,983192845238666413,3,3,2,4.0
674,1051236449213833300,3,3,2,5.0
675,34815543,21,0,0,4.52
676,5454486,48,2,2,4.83
677,5223856,357,46,4,4.69
678,5658492,124,10,1,4.53
679,847513213154299336,102,81,7,4.87
680,41464975,44,17,1,4.86
681,17782960,17,0,0,4.53
682,842610658867463154,61,43,4,4.84
683,1026108398324034744,7,7,3,5.0
684,970411814758559872,35,35,5,4.91
685,817263969809899986,85,63,4,4.88
686,788284725032341962,80,44,4,4.74
687,1175064482117063894,0,0,0,Unknown
688,1095644325895454740,1,1,0,4.0
689,42058352,12,5,0,4.17
690,872869478765162561,7,7,2,4.86
691,1076554779125209832,13,13,1,4.38
692,599231092946287209,67,27,1,4.7
693,915889110752726459,8,8,2,4.75
694,1188201869598317984,0,0,0,Unknown
695,794790743018241224,4,4,0,5.0
696,33181813,73,19,2,4.55
697,29090603,242,26,0,4.83
698,1186773783370735384,0,0,0,Unknown
699,922443585286196001,2,2,0,4.5
700,915980870252239290,1,1,0,5.0
701,935174416138338368,2,2,0,4.0
702,21495185,8,0,0,4.25
703,1136115402299414462,14,14,6,5.0
704,567090798416334268,22,7,0,4.82
705,1084049248117960194,1,1,0,5.0
706,39211195,4,1,1,4.75
707,612717204548188322,86,37,6,4.55
708,1129626293295850589,8,8,3,4.5
709,1182374386205008022,0,0,0,Unknown
710,20151354,196,56,2,4.76
711,32044261,27,6,0,4.63
712,1160815301745054427,1,1,1,4.0
713,1182654682625675689,0,0,0,Unknown
714,37744925,74,8,1,4.66
715,42759364,20,10,2,4.9
716,51445973,3,2,1,4.33
717,1110688430548762072,0,0,0,Unknown
718,862103054290589604,24,17,1,4.75
719,50345275,5,0,0,4.0
720,1147672062787991902,1,1,0,5.0
721,19577258,355,57,6,4.75
722,48496421,76,8,0,4.8
723,968084566270528782,0,0,0,Unknown
724,47462785,150,31,2,4.94
725,45136495,157,53,5,4.74
726,19720302,94,14,1,4.72
727,1005068919513926257,0,0,0,Unknown
728,883296911748190468,39,34,3,4.64
729,50629151,60,30,1,4.93
730,1023878617460252172,14,14,0,5.0
731,41922800,14,6,0,3.71
732,656391447886668701,32,14,5,4.66
733,886435696265504508,53,43,4,5.0
734,734684874828446936,63,36,1,4.75
735,919350744274620552,17,17,0,4.94
736,47447821,38,0,0,4.89
737,1014464127377351361,4,4,0,4.75
738,14961343,112,37,5,4.73
739,1007098046304011080,0,0,0,Unknown
740,42238925,23,12,0,4.48
741,52017099,41,6,0,4.73
742,45264567,19,16,1,4.32
743,917303524948737041,0,0,0,Unknown
744,19151268,227,36,3,4.63
745,640420681872050215,35,22,3,4.94
746,40006670,44,26,0,4.25
747,33581987,79,22,1,4.14
748,979355043089126322,22,22,2,4.86
749,51445940,3,1,1,4.33
750,50062273,112,35,3,4.69
751,898353424852797008,28,27,2,4.93
752,1004972153359805408,14,14,2,4.21
753,49875588,4,0,0,4.75
754,21940803,267,44,0,4.88
755,8927116,42,2,0,4.76
756,42682534,27,0,0,4.63
757,1168890138562480971,1,1,1,5.0
758,427860,23,3,0,4.36
759,933005323119977928,3,3,0,5.0
760,643305748177139191,7,3,0,4.71
761,35343831,4,2,0,4.5
762,682291429778133746,3,3,0,4.33
763,907118384591491339,22,22,3,4.86
