listing_id,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_listings_count,longitude,latitude,room_type,accommodates,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,instant_bookable,reviews_per_month,base_price
1184612577583664481,79877163,Santi,2016-06-25,"Andalusia, Spain",within an hour,100%,f,2,-4.4295379,36.7238422,Private room,5,0,0,0,Unknown,t,Unknown,70
1107837608951574164,329266025,Welcome,2020-01-20,"Málaga, Spain",within a few hours,93%,f,52,-4.418858700022535,36.72560036686984,Entire home/apt,9,0,0,0,Unknown,f,Unknown,250
52250461,138864019,Alberto,2017-07-06,"Málaga, Spain",within an hour,100%,f,29,-4.37866,36.72282,Entire home/apt,4,80,33,1,4.59,t,2.41,60
715758596280577318,40571478,La Casa De La Alameda,2015-08-05,"Andalusia, Spain",within a day,100%,t,13,-4.4251622,36.7173144,Entire home/apt,4,4,3,0,5.0,t,0.31,200
53610384,269784222,Blanca,2019-06-19,"Málaga, Spain",within an hour,100%,f,3,-4.44918,36.69904,Private room,2,48,9,0,4.83,f,1.59,60
46730603,31649041,Sami Idriss,2015-04-21,"Málaga, Spain",within a day,73%,f,10,-4.44487,36.723,Private room,1,2,0,0,4.5,f,0.05,20
1173922046754917329,33721800,Elsa,2015-05-19,"Málaga, Spain",Unknown,Unknown,f,1,-4.3867069,36.72223109999999,Entire home/apt,5,0,0,0,Unknown,f,Unknown,160
678725895653103548,11224703,Juan,2014-01-12,"Málaga, Spain",within a few hours,100%,f,1,-4.46326,36.71053,Entire home/apt,3,6,3,0,4.17,f,0.28,70
1036695641247278732,89705945,Antonio.,2016-08-13,"Málaga, Spain",within an hour,100%,f,61,-4.411778917389588,36.729350409231095,Entire home/apt,6,23,23,1,4.65,t,3.37,555
567197678880468536,2477923,Caleta Homes,2012-05-27,"Andalucía, Spain",within an hour,100%,f,108,-4.422022,36.717407,Entire home/apt,6,8,2,0,4.88,t,0.31,168
13445715,12959608,Mª Carmen,2014-03-09,"Málaga, Spain",within a few hours,100%,f,3,-4.41702,36.72441,Entire home/apt,5,152,23,4,4.89,f,1.59,144
1067777679786845074,117748581,Fátima,2017-02-23,"Málaga, Spain",within an hour,100%,t,1,-4.413446599999999,36.7255873,Entire home/apt,4,10,10,3,4.9,f,3.26,100
24249356,2957440,Lucia,2012-07-16,"Andalusia, Spain",within an hour,100%,t,16,-4.42426,36.7308,Private room,2,104,12,3,4.67,f,1.38,35
32688782,78910335,Alberto,2016-06-20,"Málaga, Spain",a few days or more,0%,f,1,-4.41479,36.73065,Entire home/apt,8,0,0,0,Unknown,f,Unknown,230
43591775,23300642,Malaga,2014-11-03,"Andalusia, Spain",within an hour,100%,f,25,-4.42162,36.72454,Entire home/apt,4,0,0,0,Unknown,t,Unknown,68
1158081830679650901,577948392,Alejandro,2024-05-16,Unknown,within a few hours,100%,f,1,-4.41606,36.72483,Entire home/apt,5,0,0,0,Unknown,t,Unknown,130
44010395,352514710,Begoña,2020-06-29,Unknown,within a day,50%,f,10,-4.3482,36.72242,Entire home/apt,6,0,0,0,Unknown,f,Unknown,160
50653676,409279835,María Del Mar,2021-06-26,"Andalusia, Spain",within a day,100%,f,1,-4.44885,36.69625,Entire home/apt,4,10,2,0,4.8,f,0.28,90
1175515871308659624,63385507,Alejandro,2016-03-17,"Málaga, Spain",Unknown,Unknown,f,1,-4.47757679060339,36.64868301636699,Entire home/apt,4,0,0,0,Unknown,t,Unknown,1300
778060321649764749,7082899,MimoRooms,2013-06-24,"Málaga, Spain",within an hour,100%,f,35,-4.40942,36.72725,Private room,2,74,45,2,4.73,t,3.99,40
867253204580770384,79418042,INMálaga,2016-06-23,"Málaga, Spain",within an hour,100%,f,41,-4.4203672,36.7261696,Entire home/apt,2,0,0,0,Unknown,t,Unknown,90
904758878213523652,433266407,OndaLuz,2021-11-24,Unknown,within an hour,99%,f,21,-4.42742,36.72214,Private room,2,0,0,0,Unknown,t,Unknown,206
998396780561943978,317065206,María,2019-12-13,"Málaga, Spain",within an hour,98%,f,91,-4.4391619,36.7282792,Private room,2,2,2,0,4.5,t,0.23,70
1144892986154338882,257531397,Elena,2019-04-23,"Málaga, Spain",within an hour,100%,f,1,-4.375772588554496,36.72328422627909,Entire home/apt,4,0,0,0,Unknown,t,Unknown,230
1002054874046796096,16135283,Raquel,2014-05-29,"Málaga, Spain",within a few hours,100%,f,4,-4.3807759460327045,36.72175500921768,Entire home/apt,2,1,1,0,1.0,f,0.5,50
893956976040959311,317065206,María,2019-12-13,"Málaga, Spain",within an hour,98%,f,91,-4.4367608,36.7192549,Entire home/apt,6,4,3,0,4.0,t,0.32,90
11257848,31088953,Jose Maria,2015-04-12,"Málaga, Spain",within a few hours,100%,f,8,-4.3736,36.72115,Entire home/apt,2,46,11,2,4.72,f,0.47,90
50783348,146243868,Hotel Humaina,2017-08-16,"Andalusia, Spain",within an hour,100%,f,4,-4.38598,36.80981,Private room,4,0,0,0,Unknown,t,Unknown,164
10964253,12762864,Alfonso,2014-03-03,"Málaga, Spain",within a few hours,100%,f,5,-4.43463,36.71283,Private room,1,24,0,0,4.21,f,0.24,18
666551949700076115,92807180,Belen,2016-08-31,Unknown,within an hour,100%,t,7,-4.42214,36.72098,Entire home/apt,6,10,2,0,4.7,t,0.43,250
1189033601427055682,586249512,Marek,2024-06-28,Unknown,Unknown,Unknown,f,1,-4.4189022,36.7256481,Entire home/apt,4,0,0,0,Unknown,t,Unknown,500
858501303932825096,111975119,Arianna,2017-01-17,Unknown,Unknown,Unknown,f,1,-4.42102,36.72135,Entire home/apt,4,0,0,0,Unknown,t,Unknown,500
48734262,336339051,Fernando,2020-02-15,"Andalusia, Spain",within an hour,98%,Unknown,46,-4.356613159179688,36.720951080322266,Entire home/apt,4,11,1,0,4.36,t,0.31,52
1151483405717060484,31673943,Inés,2015-04-21,"Málaga, Spain",within an hour,90%,f,2,-4.433845,36.72169969999999,Private room,1,0,0,0,Unknown,t,Unknown,28
965878325017942935,145604096,Ofelia Y Alejandro,2017-08-12,Unknown,within an hour,100%,f,2,-4.409848004579544,36.71915831532728,Private room,2,15,15,2,4.87,f,1.53,55
1152716033478269499,109034785,María Dolores,2016-12-29,Unknown,within a day,100%,f,1,-4.37212,36.72309,Entire home/apt,5,0,0,0,Unknown,f,Unknown,165
1075295844736119630,481370951,Mª Begoña,2022-09-28,Unknown,within a few hours,71%,f,24,-4.3560814,36.7184377,Entire home/apt,4,0,0,0,Unknown,t,Unknown,110
663620721918739405,336339051,Fernando,2020-02-15,"Andalusia, Spain",within an hour,98%,Unknown,46,-4.3567272,36.7208765,Entire home/apt,5,3,0,0,4.0,t,0.14,55
12341217,31088953,Jose Maria,2015-04-12,"Málaga, Spain",within a few hours,100%,f,8,-4.3736,36.72115,Entire home/apt,3,103,15,1,4.65,f,1.06,60
999138896563553972,40570361,Villa Alicia,2015-08-05,Unknown,within a day,100%,f,15,-4.4111159,36.72907780000001,Private room,2,0,0,0,Unknown,f,Unknown,2600
612042486472078354,455744007,Carlos,2022-04-24,Unknown,within an hour,100%,t,1,-4.44436,36.69794,Entire home/apt,4,40,18,1,4.95,f,1.54,80
876481767821022208,154343892,Ibra,2017-10-12,"Málaga, Spain",within an hour,100%,t,4,-4.436839073896408,36.69855134389401,Entire home/apt,6,40,35,4,4.8,t,2.91,240
695050975333782507,250112582,HomeAbroad Apartments,2019-03-20,"Andalusia, Spain",within an hour,90%,f,39,-4.35942,36.72245,Entire home/apt,6,0,0,0,Unknown,t,Unknown,162
1115674190031235701,567012379,Jose Maria,2024-03-14,Unknown,within an hour,100%,f,2,-4.409207520044339,36.720819828737255,Entire home/apt,4,1,1,0,5.0,t,0.52,159
817126553731696180,131877957,Clara,2017-05-25,"Málaga, Spain",within an hour,100%,t,10,-4.420751,36.7305179,Entire home/apt,6,41,25,1,4.76,t,2.5,60
752523731216927771,15338230,Francisco Javier,2014-05-10,"Málaga, Spain",within an hour,70%,f,2,-4.42971,36.71164,Entire home/apt,3,12,10,2,4.58,t,0.66,63
49374182,19957169,Comam,2014-08-13,"Málaga, Spain",within an hour,100%,t,7,-4.42721417429652,36.71079120716191,Entire home/apt,2,75,19,0,4.89,t,1.95,89
1139622492685125203,223186286,Pietro,2018-10-29,"Málaga, Spain",within an hour,100%,f,6,-4.434696027248418,36.70317397424972,Entire home/apt,5,3,3,1,5.0,t,1.58,105
892506201848565033,89705945,Antonio.,2016-08-13,"Málaga, Spain",within an hour,100%,f,61,-4.428608336644592,36.70867170379477,Entire home/apt,5,48,46,8,4.69,f,3.71,76
25481677,3298879,Málaga De Vacaciones,2012-08-18,"Málaga, Spain",within an hour,97%,f,49,-4.37916,36.72297,Entire home/apt,2,9,6,0,4.33,t,0.12,89
41130469,22947028,Jose Ignacio,2014-10-25,"Málaga, Spain",within an hour,100%,f,4,-4.409199208563612,36.71927375006783,Entire home/apt,2,68,31,4,4.9,t,2.73,95
52470425,16899603,Sebastian,2014-06-17,"Málaga, Spain",within a few hours,100%,t,2,-4.44301,36.69731,Private room,1,60,26,3,4.97,f,1.8,25
1182487044391392198,504611516,Iñaki,2023-03-09,"Azpeitia, Spain",within an hour,67%,f,1,-4.411891,36.7274204,Entire home/apt,5,0,0,0,Unknown,t,Unknown,120
693397692081572425,14451033,Francisco,2018-02-10,"San Diego, CA",Unknown,Unknown,f,1,-4.37977,36.72322,Entire home/apt,4,0,0,0,Unknown,f,Unknown,225
43879707,157524315,ÁngelayRaúl,2017-11-05,"Málaga, Spain",within an hour,100%,f,10,-4.42386,36.73002,Entire home/apt,6,46,11,2,4.67,t,0.97,250
949657451531557083,529580749,Manuel,2023-08-03,Unknown,within an hour,100%,t,5,-4.4112862,36.7173185,Entire home/apt,4,36,36,6,4.75,t,4.39,125
47867321,8342062,Victor,2013-08-23,"Andalusia, Spain",within an hour,100%,f,3,-4.43775,36.71758,Entire home/apt,6,24,15,1,4.67,f,1.03,110
689742650670873710,80225433,I Loft Malaga,2016-06-27,"Málaga, Spain",within an hour,100%,f,239,-4.42471,36.72238,Entire home/apt,4,41,27,0,4.73,t,1.79,280
979814906363322164,144438902,Leila,2017-08-05,"Málaga, Spain",within an hour,100%,f,1,-4.4427406940686565,36.696845738490296,Private room,2,2,2,0,5.0,f,0.23,50
1534533,4921828,Laura,2013-01-31,"Málaga, Spain",within an hour,100%,f,1,-4.38305,36.72278,Entire home/apt,2,126,20,2,4.83,t,2.59,89
1139170852501266981,573330660,Priscila,2024-04-20,Unknown,within a day,100%,f,1,-4.4462208,36.6988414,Entire home/apt,5,0,0,0,Unknown,f,Unknown,135
23684885,173942522,Alberto,2018-02-18,"Andalusia, Spain",within an hour,100%,f,10,-4.40907,36.71949,Entire home/apt,4,58,3,1,4.66,f,0.77,70
989298853890796741,539113644,Marisa,2023-09-26,"Málaga, Spain",within an hour,100%,t,1,-4.4082438,36.7211552,Entire home/apt,6,16,16,3,4.94,f,2.15,270
34811272,145773725,Francisco Javier,2017-08-13,"Vélez-Málaga, Spain",Unknown,Unknown,f,2,-4.43222,36.72049,Entire home/apt,4,10,1,0,5.0,t,0.17,85
53445185,89812313,Ele,2016-08-14,"Andalusia, Spain",within an hour,100%,Unknown,85,-4.40918,36.71818,Entire home/apt,3,16,8,0,4.56,t,0.52,80
1175117720119795164,355908013,Adrián,2020-07-12,"Málaga, Spain",a few days or more,42%,f,3,-4.411423547607557,36.71806419414922,Entire home/apt,6,0,0,0,Unknown,f,Unknown,330
1117204351074342834,272059459,Alquiler Vacacional,2019-06-28,"Andalusia, Spain",within an hour,94%,f,7,-4.4183998,36.7251833,Entire home/apt,4,15,15,5,4.27,t,4.64,74
52623897,229539174,Carmen,2018-12-07,Unknown,within an hour,100%,t,7,-4.35056,36.72012,Entire home/apt,3,61,24,3,4.61,t,1.87,60
50774156,21571675,Miriam,2014-09-20,"Málaga, Spain",within a few hours,100%,f,1,-4.36214,36.73551,Entire home/apt,10,10,4,2,5.0,f,0.29,850
1121062266555409019,40575565,Jose,2015-08-05,"Málaga, Spain",within an hour,100%,f,5,-4.450125654756272,36.69731721733562,Entire home/apt,2,1,1,0,5.0,t,0.44,75
917834953180520149,45221462,Inma,2015-09-27,"Málaga, Spain",within a few hours,80%,f,2,-4.5498786,36.7253542,Entire home/apt,9,2,2,2,5.0,f,2.0,240
54240622,45306313,Matilde,2015-09-28,"Andalusia, Spain",within an hour,100%,t,4,-4.42164,36.73301,Private room,2,26,4,1,4.77,f,0.91,46
49586133,399983594,Pavlina,2021-05-04,Unknown,within a few hours,100%,f,2,-4.43632,36.70606,Private room,1,2,0,0,4.5,t,0.09,18
863648319723507428,508826705,Francisco Javier,2023-04-06,"Málaga, Spain",Unknown,Unknown,f,1,-4.42252,36.73669,Private room,2,2,0,0,3.0,f,0.14,60
806491225145420408,84259351,Paqui,2016-07-17,"Jaén, Spain",within an hour,100%,t,4,-4.41112,36.71768,Entire home/apt,4,13,9,2,4.85,t,0.82,125
23253864,2477923,Caleta Homes,2012-05-27,"Andalucía, Spain",within an hour,100%,f,108,-4.40974,36.72108,Entire home/apt,2,3,1,0,4.33,t,0.04,82
573740983992372502,445800225,Angela,2022-02-19,Unknown,within a day,100%,t,1,-4.411498,36.717064,Entire home/apt,2,37,13,2,4.97,f,1.38,95
51677450,126429738,Steffen,2017-04-18,"Andalusia, Spain",within an hour,100%,t,74,-4.42699,36.71088,Entire home/apt,4,14,6,0,4.86,t,0.41,179
1136996875043906139,572389355,Elizabeth,2024-04-15,"Málaga, Spain",within an hour,100%,f,2,-4.444693510369414,36.71677848636667,Entire home/apt,5,0,0,0,Unknown,f,Unknown,90
963127745283910650,533142150,Mykola,2023-08-21,"Málaga, Spain",within an hour,100%,t,1,-4.439693403689519,36.70265280889258,Entire home/apt,4,53,53,2,4.89,f,5.15,100
924610580098855355,182896019,Paula,2018-04-07,Unknown,Unknown,Unknown,f,1,-4.4423457,36.7004978,Entire home/apt,4,1,1,0,5.0,t,0.09,130
37874750,61711841,Silvia,2016-03-05,"Málaga, Spain",a few days or more,0%,f,1,-4.42668,36.72591,Private room,3,0,0,0,Unknown,f,Unknown,90
53883996,111975730,Pedro,2017-01-17,"Málaga, Spain",within an hour,92%,f,7,-4.43066,36.72588,Entire home/apt,3,41,30,5,4.54,f,1.39,70
798602648821584990,24525026,Carolina,2014-12-05,"Málaga, Spain",within a few hours,99%,f,39,-4.432188123464584,36.7088107735691,Private room,1,169,109,6,4.6,f,9.51,21
47813038,200181248,Maria José,2018-07-05,"Andalusia, Spain",within a few hours,100%,f,12,-4.43646,36.71499,Entire home/apt,3,8,0,0,3.25,f,0.24,151
43873590,175668869,Sergio,2018-02-27,"Andalusia, Spain",within an hour,100%,f,3,-4.44115,36.69724,Entire home/apt,6,3,1,0,3.33,t,0.13,125
569237001005836026,16981595,Luisa,2014-06-19,"Benalmádena, Spain",within an hour,100%,f,2,-4.4251,36.72667,Entire home/apt,4,20,14,0,4.75,t,0.73,60
688839237137388158,22358804,Pancho,2014-10-10,"Andalusia, Spain",within an hour,100%,f,2,-4.41737,36.72035,Entire home/apt,4,105,68,3,4.4,t,4.71,89
927537298550479176,517907328,Javier,2023-06-02,Unknown,within an hour,100%,f,5,-4.437211230397224,36.70565166462579,Entire home/apt,5,4,4,0,4.0,t,0.35,70
45023145,89812313,Ele,2016-08-14,"Andalusia, Spain",within an hour,100%,Unknown,85,-4.42451,36.72599,Entire home/apt,5,9,3,0,4.78,t,0.29,70
49680020,299018801,Esther,2019-09-30,Unknown,within an hour,100%,t,4,-4.41683,36.72472,Entire home/apt,4,154,49,0,4.92,f,4.2,80
904126879528990022,459701892,Jose Carlos,2022-05-18,Unknown,within an hour,100%,t,2,-4.4149664,36.7263705,Entire home/apt,5,95,93,7,4.95,t,7.64,100
557707432063453627,197972732,Teatro Suites,2018-06-25,"Andalusia, Spain",within an hour,100%,f,12,-4.422061,36.727612,Entire home/apt,2,14,1,0,4.64,f,0.5,90
664853001254547819,21521353,Leandro,2014-09-19,"Málaga, Spain",within an hour,100%,f,56,-4.42407,36.72245,Entire home/apt,4,51,26,2,4.49,t,2.12,250
54401877,22371898,Ali,2014-10-10,"Málaga, Spain",within an hour,100%,t,43,-4.41971,36.72188,Entire home/apt,2,96,51,4,4.79,t,5.01,60
13599747,4739907,Maria Del Mar,2013-01-17,"Málaga, Spain",within an hour,100%,f,9,-4.41865,36.7207,Entire home/apt,4,310,54,4,4.42,t,3.19,69
1108440073994577066,24525026,Carolina,2014-12-05,"Málaga, Spain",within a few hours,99%,f,39,-4.4131653,36.7282876,Private room,2,14,14,4,4.14,f,3.89,22
924059348587432729,513244554,Holidu,2023-05-05,"Madrid, Spain",within an hour,100%,f,142,-4.423062,36.7236498,Entire home/apt,2,26,10,2,4.69,t,1.32,81
938777382010951286,21521353,Leandro,2014-09-19,"Málaga, Spain",within an hour,100%,f,56,-4.421177999999999,36.7230949,Entire home/apt,2,12,12,0,4.25,t,1.12,250
50883846,17499500,Homeabout,2014-07-01,"Madrid, Spain",within an hour,98%,f,104,-4.42156,36.71936,Entire home/apt,4,62,7,0,4.48,f,1.71,55
622409594808278211,278821830,Remy,2019-07-24,"Andalusia, Spain",within an hour,100%,t,131,-4.423293,36.719929,Entire home/apt,6,109,47,3,4.94,t,4.21,120
19689070,3298879,Málaga De Vacaciones,2012-08-18,"Málaga, Spain",within an hour,97%,f,49,-4.41387,36.72615,Entire home/apt,2,39,2,0,4.67,t,0.46,126
930263394719272649,264904966,Ana,2019-05-29,Unknown,within an hour,97%,f,3,-4.42303,36.71913,Entire home/apt,4,33,33,1,4.45,f,2.89,130
544879148237956154,2477923,Caleta Homes,2012-05-27,"Andalucía, Spain",within an hour,100%,f,108,-4.422022,36.717407,Entire home/apt,6,0,0,0,Unknown,t,Unknown,159
850789788658917356,500802995,Esther,2023-02-12,Unknown,within an hour,100%,f,1,-4.418212473392487,36.72215991670529,Entire home/apt,4,72,54,6,4.72,t,4.73,80
43591642,23300642,Malaga,2014-11-03,"Andalusia, Spain",within an hour,100%,f,25,-4.42059,36.72065,Entire home/apt,3,5,0,0,4.0,t,0.1,99
43994707,315205730,Hgh Prime,2019-12-07,Unknown,within an hour,89%,f,9,-4.42142,36.72258,Entire home/apt,2,4,0,0,4.75,t,0.11,70
1175427892750018465,191939936,Centric,2018-05-27,Unknown,within an hour,100%,t,12,-4.42644661273903,36.72305751707755,Entire home/apt,3,1,1,1,5.0,t,1.0,110
734667357605231160,177866002,Jazmin,2018-03-11,"Andalusia, Spain",within an hour,100%,f,10,-4.424631199999999,36.7210145,Entire home/apt,4,42,35,1,4.6,f,2.14,78
945373675550457751,528375695,Jose Maria,2023-07-28,"Málaga, Spain",Unknown,Unknown,f,1,-4.42338018669513,36.72489853870513,Entire home/apt,4,0,0,0,Unknown,t,Unknown,200
554081845030396051,94173177,Living4Malaga,2016-09-08,"Andalusia, Spain",within an hour,100%,f,115,-4.43983,36.69545,Entire home/apt,6,27,9,0,4.56,t,0.98,131
52188391,252959314,Malaga,2019-04-03,"Málaga, Spain",within an hour,94%,f,74,-4.41778,36.72305,Private room,2,63,29,1,4.25,t,1.86,31
33072050,4841998,Emilia Y Pepe,2013-01-25,"Málaga, Spain",within an hour,82%,f,7,-4.44309,36.70305,Entire home/apt,16,18,9,1,4.56,f,0.3,200
26516802,57756025,Patricia,2016-02-07,"Málaga, Spain",within an hour,100%,f,8,-4.42321,36.71494,Entire home/apt,8,103,4,0,4.61,t,1.42,250
51455692,17330820,July,2014-06-27,"Andalusia, Spain",within an hour,100%,f,1,-4.425175842611085,36.73000372138959,Entire home/apt,3,3,2,0,4.33,t,0.25,90
18156753,8544512,Malaga Center Flat,2013-08-31,"Málaga, Spain",within an hour,98%,f,73,-4.43579,36.72612,Entire home/apt,4,69,3,0,4.43,t,0.79,74
22926369,89705945,Antonio.,2016-08-13,"Málaga, Spain",within an hour,100%,f,61,-4.41454,36.73308,Entire home/apt,6,125,14,2,4.34,t,1.6,90
51157140,94173177,Living4Malaga,2016-09-08,"Andalusia, Spain",within an hour,100%,f,115,-4.42352,36.71573,Entire home/apt,12,98,41,4,4.63,t,3.02,178
1115042476146658375,561469398,Alberto,2024-02-11,Unknown,within an hour,100%,f,1,-4.419697490213019,36.721757192255886,Entire home/apt,6,10,10,3,5.0,t,3.61,840
52650110,152016953,Del Parque Flats,2017-09-25,"Málaga, Spain",within an hour,100%,f,84,-4.42319,36.72387,Entire home/apt,3,8,1,0,4.5,t,0.27,48
983175522374515741,233811452,Enjoy,2019-01-02,"Saint-Jean-de-Monts, France",within an hour,97%,f,29,-4.42023767638512,36.723347696753926,Private room,4,1,1,1,5.0,t,1.0,35
1055083714490779174,23441165,Andrea,2014-11-07,"Madrid, Spain",within an hour,97%,f,42,-4.417749251666047,36.7262836592394,Private room,2,5,5,0,2.8,t,1.05,500
23336118,126386697,Lu&Cia,2017-04-18,"Málaga, Spain",within an hour,100%,f,44,-4.41791,36.72307,Entire home/apt,2,120,26,2,4.7,t,1.55,100
686670798117405791,335772675,Atarazanas,2020-02-13,Unknown,within an hour,100%,t,2,-4.423730000000001,36.7181,Entire home/apt,4,85,46,4,4.85,f,3.72,180
51949595,152016953,Del Parque Flats,2017-09-25,"Málaga, Spain",within an hour,100%,f,84,-4.41908,36.72617,Entire home/apt,4,1,0,0,5.0,t,0.04,60
644765151391649220,152016953,Del Parque Flats,2017-09-25,"Málaga, Spain",within an hour,100%,f,84,-4.422,36.72154,Entire home/apt,4,3,0,0,3.0,t,0.14,63
48180516,92413558,Berta,2016-08-29,"Geneva, Switzerland",Unknown,Unknown,f,2,-4.41926,36.72348,Entire home/apt,6,17,2,0,4.29,t,0.45,150
744581928439575513,94173177,Living4Malaga,2016-09-08,"Andalusia, Spain",within an hour,100%,f,115,-4.41965,36.72429,Entire home/apt,8,46,34,3,4.61,t,2.68,140
856411708055823572,507274875,Calu Homes,2023-03-27,"Málaga, Spain",within an hour,100%,f,10,-4.42870083357232,36.71180184793242,Entire home/apt,5,12,9,1,4.33,t,0.81,250
1004096284072247508,250112582,HomeAbroad Apartments,2019-03-20,"Andalusia, Spain",within an hour,90%,f,39,-4.41995,36.73677,Entire home/apt,12,0,0,0,Unknown,t,Unknown,139
50170626,404900960,Araceli,2021-06-02,"Andalusia, Spain",within an hour,100%,f,1,-4.42851,36.73712,Private room,2,30,6,0,4.8,f,0.83,26
954864833591571488,704931,Jessica,2011-06-15,"Málaga, Spain",Unknown,Unknown,f,1,-4.49288,36.74293,Entire home/apt,3,4,4,0,4.5,t,0.38,95
1135386307364435848,18185163,Javier,2014-07-16,"Málaga, Spain",within an hour,100%,f,1,-4.426390171053554,36.730791119269135,Entire home/apt,4,3,3,1,5.0,f,1.27,175
1150558365474830648,89812313,Ele,2016-08-14,"Andalusia, Spain",within an hour,100%,Unknown,85,-4.4268255,36.73035530000001,Entire home/apt,2,1,1,1,4.0,t,1.0,160
1027213773320642653,165640139,Roman,2018-01-03,"Málaga, Spain",within an hour,93%,f,7,-4.4176524986564285,36.73083817263,Private room,2,26,26,2,4.65,t,3.71,20
41361621,317065206,María,2019-12-13,"Málaga, Spain",within an hour,98%,f,91,-4.39282,36.72455,Entire home/apt,4,24,13,0,4.67,t,0.68,80
1163558473238227767,577695266,Ranar,2024-05-15,Unknown,within an hour,100%,f,3,-4.423227799999999,36.7302609,Entire home/apt,4,1,1,1,5.0,t,1.0,100
988271346539584063,45749342,Malagasuite Showroom,2015-10-04,"Málaga, Spain",within an hour,98%,f,110,-4.436636872840711,36.72561482486258,Entire home/apt,2,8,8,0,4.75,t,0.95,88
673943669153953423,89812313,Ele,2016-08-14,"Andalusia, Spain",within an hour,100%,Unknown,85,-4.41744,36.7251,Entire home/apt,2,2,1,0,4.5,t,0.09,120
860509269312514964,458231954,Manuel,2022-05-09,Unknown,within an hour,80%,f,3,-4.41,36.72742,Private room,1,0,0,0,Unknown,f,Unknown,100
720110925411046078,80225433,I Loft Malaga,2016-06-27,"Málaga, Spain",within an hour,100%,f,239,-4.42141,36.72057,Entire home/apt,5,50,38,1,4.92,t,2.45,100
20197996,16650042,R.U Sto Tomas,2014-06-11,"Málaga, Spain",within an hour,100%,f,12,-4.47097,36.72192,Entire home/apt,5,20,2,0,4.75,t,0.24,50
26131624,11318862,Maria Palma,2014-01-15,"Málaga, Spain",within an hour,100%,t,7,-4.41932,36.72141,Entire home/apt,5,66,15,3,4.95,f,0.93,170
1117220258258475985,552865894,Malaga Homes,2023-12-27,Unknown,within an hour,100%,t,4,-4.424087,36.7232703,Entire home/apt,5,3,3,1,5.0,f,1.25,109
1013521434845936988,543234924,Fernando,2023-10-24,Unknown,within an hour,100%,t,2,-4.413875993966228,36.72772992850941,Entire home/apt,6,13,13,2,4.62,t,2.13,175
701863074077609964,428065882,Maria,2021-10-19,Unknown,Unknown,Unknown,f,7,-4.42093,36.72226,Entire home/apt,2,3,2,0,5.0,t,0.16,200
588878414318415104,80225433,I Loft Malaga,2016-06-27,"Málaga, Spain",within an hour,100%,f,239,-4.35394,36.72807,Entire home/apt,4,5,4,0,3.8,t,0.19,70
1015747607077945817,544527314,Casa Paco,2023-11-02,"Málaga, Spain",Unknown,Unknown,f,1,-4.4394229292469145,36.7277106549361,Private room,1,0,0,0,Unknown,f,Unknown,1000
1120300716913820471,2904820,Salvador,2012-07-11,"Málaga, Spain",within a day,57%,f,1,-4.4191132,36.73252230000001,Private room,2,2,2,0,5.0,f,0.79,78
894646052451287380,97079426,Malaga Holiday And Rentals,2016-09-28,"Málaga, Spain",within an hour,100%,t,5,-4.36642,36.72173,Private room,1,30,23,2,4.87,f,2.22,35
