listing_id,host_id,longitude,latitude,room_type,accommodates,instant_bookable,base_price
811247128035927128,89812313,-4.428851286758203,36.71013409744017,Entire home/apt,6,t,350.0
1077235551726463084,332019247,-4.4548131953067545,36.7204081204998,Entire home/apt,4,t,200.0
947725389699372560,40762655,-4.441348937234011,36.72402275977839,Entire home/apt,3,t,99.0
18083279,15780021,-4.40729,36.72405,Entire home/apt,4,f,72.0
33993551,33460406,-4.43467,36.72728,Entire home/apt,6,f,100.0
938376685048761542,453777166,-4.433041,36.7221499,Entire home/apt,2,t,800.0
720210298730718696,57881823,-4.40768,36.72012,Entire home/apt,6,t,150.0
1063028077539183839,554854631,-4.440801119573969,36.70028052956271,Entire home/apt,4,t,80.0
1115832753674803061,164238204,-4.434372261844626,36.72591099272021,Entire home/apt,4,t,70.0
804875288090643324,49010299,-4.4373901,36.7065156,Entire home/apt,2,f,99.0
889987695542955404,476677318,-4.421992711722851,36.7370774975449,Entire home/apt,4,f,90.0
812096765522197136,497876112,-4.43597,36.72808,Entire home/apt,4,f,90.0
10975950,38347244,-4.37332,36.72751,Entire home/apt,6,t,100.0
858464746917520869,89705945,-4.43414,36.72238,Entire home/apt,4,t,555.0
550804,2707228,-4.41177,36.71647,Entire home/apt,2,t,300.0
37511698,8899725,-4.42441,36.7281,Private room,2,t,100.0
1168099832163149668,327091839,-4.4333257,36.720247,Entire home/apt,3,f,150.0
803350675108343237,94173177,-4.39924,36.72205,Entire home/apt,6,t,185.0
5997093,31088953,-4.3736,36.72115,Entire home/apt,6,f,90.0
728874513305231806,481779654,-4.378455,36.7212456,Entire home/apt,4,f,55.0
1066727444026172188,419433327,-4.430347304464109,36.7065748398074,Entire home/apt,4,f,90.0
873668992138360377,510909246,-4.36074,36.7207,Entire home/apt,6,f,139.0
50783866,146243868,-4.38461,36.81152,Private room,2,t,194.0
1160777154789300917,270230553,-4.381903063743768,36.72342095907861,Entire home/apt,2,t,124.0
38225330,51688277,-4.48136,36.73,Entire home/apt,6,f,325.0
48862430,336339051,-4.356613159179688,36.720951080322266,Entire home/apt,4,t,50.0
12925563,70929829,-4.44802,36.79302,Entire home/apt,12,f,500.0
1180899304566522204,465027302,-4.463796552329984,36.66692551603459,Entire home/apt,12,f,500.0
46483685,20148078,-4.42675,36.72547,Entire home/apt,4,f,55.0
668845888112131885,94846396,-4.42434,36.72855,Entire home/apt,2,t,75.0
833919874109090157,262729086,-4.45427,36.69081,Entire home/apt,4,f,42.0
1183204813237305729,341324373,-4.42050646161177,36.73668773725983,Private room,2,f,47.0
1147767239460718758,196551708,-4.454213178542598,36.69610585700776,Entire home/apt,4,f,500.0
552603796037421395,17499500,-4.4298,36.72399,Entire home/apt,3,f,43.0
937013014358915648,511858224,-4.42755463276908,36.73147889304808,Entire home/apt,4,f,115.0
1168449413188908478,141523466,-4.491006,36.654213,Entire home/apt,6,t,373.0
676489722096318412,470335442,-4.42899,36.72553,Entire home/apt,2,t,195.0
42160461,275295141,-4.41237,36.71803,Entire home/apt,2,t,130.0
572793069084660519,89705945,-4.4154,36.7324,Entire home/apt,4,t,57.0
17578292,68792228,-4.46796,36.67215,Entire home/apt,6,f,130.0
1105686840784228069,315101202,-4.439379461109638,36.72107231515994,Private room,2,t,32.0
1088150617272408113,452077122,-4.4117387,36.7184,Entire home/apt,3,f,158.0
686260402377508148,471753249,-4.35824,36.72338,Private room,2,f,49.0
1189202187313030178,44615322,-4.4407793915181415,36.700330030398455,Entire home/apt,4,f,105.0
23914727,473317644,-4.43899,36.69971,Entire home/apt,6,t,280.0
18984779,101334115,-4.39387,36.72331,Entire home/apt,5,f,115.0
1019526067290656530,48132655,-4.4079673238275445,36.7212811431383,Entire home/apt,4,f,195.0
32638438,245383204,-4.43769,36.70285,Entire home/apt,5,t,50.0
40529119,89705945,-4.41215,36.71696,Entire home/apt,4,t,69.0
1176191076587575130,582715395,-4.4255835,36.7271353,Entire home/apt,4,t,112.0
1186918876981740883,2092252,-4.445120592434239,36.708664004365,Entire home/apt,4,f,84.0
9622415,45659012,-4.42667,36.72495,Entire home/apt,4,t,96.0
